"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BT1","1","Battery","","","","","~"
"C1,C2","2","120n","","","","","~"
"C3,C7,C8","3","220uF","","","","",""
"C4","1","100nF","","","","",""
"C5","1","100uF","","","","",""
"C6","1","22uF","","","","",""
"C9","1","4.7k","","","","",""
"C10,C11","2","4.7uF","","","","",""
"D1","1","D_Schottky","","","","","~"
"D2","1","RED","","","","","~"
"D3","1","GREEN","","","","","~"
"D4","1","BLUE","","","","","~"
"h1","1","Hall Effect Sensor","","","","",""
"J2","1","Barrel_Jack_MountingPin","","","","","~"
"L1,L2","2","150uH","","","","","~"
"M1","1","Motor_Servo","","","","","http://forums.parallax.com/uploads/attachments/46831/74481.png"
"M2","1","LP-MSPM0G3519","","","","","https://www.ti.com/lit/ug/slau947/slau947.pdf?ts=1773611716647&ref_url=https%253A%252F%252Fwww.ti.com%252Ftool%252FLP-MSPM0G3519"
"M4","1","LP-MSPM0G3507","","","","",""
"Q1","1","RFP30N06LE","","","","","https://ngspice.sourceforge.io/docs/ngspice-html-manual/manual.xhtml#cha_MOSFETs"
"Q2","1","2N2219","","","","Package_TO_SOT_THT:TO-39-3","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"R1,R2,R3,R4,R5,R6","6","10k","","","","","~"
"R7,R17","2","10","","","","","~"
"R13,R18,R19","3","220","","","","","~"
"R14","1","470","","","","","~"
"R15","1","50m","","","","","~"
"R16","1","20m","","","","","~"
"R20","1","100","","","","","~"
"R21,R22,R23","3","1k","","","","","~"
"R24,R25,R26","3","2.7k","","","","","~"
"R27,R28,R29","3","3.3k","","","","","~"
"RE1","1","Relay","","","","",""
"RV1","1","R_Potentiometer","","","","","~"
"S1","1","Wind_Sensor_Rev_3","","","","",""
"SD2","1","SD_CARD","","","","",""
"SW1","1","Right","","","","","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
"SW2","1","Left","","","","","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
"SW3","1","SW_SPST","","","","","~"
"SW4","1","Stop","","","","","https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf"
"U1,U2","2","INA229AQDGSRQ1","","","","VSSOP10_DGS_TEX","https://www.ti.com/lit/gpn/ina229-q1"
"U3","1","20x4 LCD","","","","Display:NHD-0420H1Z","http://www.newhavendisplay.com/specs/NHD-0420H1Z-FSW-GBW-33V3.pdf"
"U4","1","74LS14","","","","","http://www.ti.com/lit/gpn/sn74LS14"
"U5","1","UCC37322P","","","","P0008A","https://www.ti.com/lit/gpn/ucc37322"
